Date,Open,High,Low,Close,Volume,Adj Close
2017-07-07,42.310001,43.5,42.060001,43.150002,101875550,43.150002
2017-07-06,43.029999,44.950001,42.439999,42.549999,125099891,42.549999
2017-07-05,43.27,43.98,42.09,43.630001,97501931,43.630001
2017-07-04,43.0,43.849998,42.700001,43.650002,93626651,43.650002
2017-07-03,40.299999,43.450001,39.91,43.450001,114094958,43.450001
2017-06-30,39.779999,41.439999,39.580002,39.900002,79347654,39.900002
2017-06-29,37.400002,41.580002,37.209999,40.049999,120193509,40.049999
2017-06-28,36.77,38.450001,36.080002,37.799999,92278470,37.799999
2017-06-27,36.299999,36.490002,35.709999,36.139999,42922349,36.139999
2017-06-26,33.900002,36.389999,33.900002,36.389999,80080011,36.389999
2017-06-23,33.049999,33.740002,32.75,33.630001,37421718,33.630001
2017-06-22,32.380001,34.900002,32.25,33.18,61117659,33.18
2017-06-21,32.259998,32.5,31.709999,32.279999,20505334,32.279999
2017-06-20,32.299999,32.380001,31.889999,31.950001,17902232,31.950001
2017-06-19,31.809999,32.349998,31.719999,32.169998,19889889,32.169998
2017-06-16,32.07,32.240002,31.66,31.75,15830441,31.75
2017-06-15,31.08,32.299999,31.02,32.07,32742719,32.07
2017-06-14,30.99,31.25,30.67,31.08,11948633,31.08
2017-06-13,30.5,31.1,30.42,30.99,12184435,30.99
2017-06-12,31.200001,31.290001,30.5,30.58,15222473,30.58
2017-06-09,31.0,31.610001,30.67,31.35,21548783,31.35
2017-06-08,31.32,31.389999,30.9,30.98,17508391,30.98
2017-06-07,30.9,31.32,30.719999,31.299999,26190225,31.299999
2017-06-06,30.209999,30.940001,30.209999,30.85,20014404,30.85
2017-06-05,30.23,30.76,30.08,30.200001,16106256,30.200001
2017-06-02,29.52,30.24,28.620001,30.139999,17688846,30.139999
2017-06-01,29.790001,30.469999,29.6,29.790001,19707568,29.790001
2017-05-31,29.91,30.870001,29.799999,29.82,20599239,29.82
2017-05-26,29.84,30.33,29.610001,29.91,20992662,29.91
2017-05-25,28.85,30.0,28.620001,29.84,23831103,29.84
2017-05-24,28.4,28.93,27.879999,28.93,16013825,28.93
2017-05-23,29.48,29.68,28.27,28.299999,20677641,28.299999
2017-05-22,29.33,29.940001,29.23,29.4,13978110,29.4
2017-05-19,29.860001,29.99,29.01,29.35,16071522,29.35
2017-05-18,29.5,30.190001,29.48,29.799999,17423741,29.799999
2017-05-17,30.0,30.27,29.6,29.860001,19280171,29.860001
2017-05-16,29.16,30.0,28.799999,29.98,25053754,29.98
2017-05-15,28.709999,29.43,28.700001,29.17,25713499,29.17
2017-05-12,27.870001,28.34,27.700001,28.299999,17817605,28.299999
2017-05-11,28.35,28.57,27.049999,27.91,31389485,27.91
